doi;title;author;date;sdg;ugc_source;paperurl;source;query
10.1371/journal.pone.0162372;Spatial and temporal dynamics and value of nature-based recreation, estimated via social media;Sonter L.J.;01.09.2016;3.4;flickr;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84990909836&origin=inward;scopus;TITLE(((outdoor OR nature) AND recreation) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
;"Chatter on The Red: What Hazards Threat Reveals about the Social Life of Microblogged
Information";"Starbird, Kate
Palen, Leysia
Hughes, Amanda L.
Vieweg, Sarah";01.02.2010;11.5;twitter;;webofknowledge;Disaster
10.1007/s10708-014-9540-3;Down with the flow: public debates shaping the risk framing of artificial groundwater recharge;Lyytimäki J.;01.01.2014;3.9;suomi24 - forum;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84922337871&origin=inward;scopus;KEY(((chemical* OR air OR water OR soil) AND (pollution OR contamination)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
;Disaster prevention system utilizing social media information;Morita N.;01.04.2018;11.5;Social media - not further specified;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85045287725&origin=inward;scopus;KEY((disaster AND (manage* OR help* OR support*)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1080/01431161.2015.1117684;Using Twitter for tasking remote-sensing data collection and damage assessment: 2013 Boulder flood case study;Cervone G.;02.01.2016;11.5;twitter;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84953314366&origin=inward;scopus;KEY((infrastruct* AND disaster) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1007/978-3-319-14280-7;OpenStreetMap in GIScience: Experiences, Research, and Applications;"Arsanjani, JJ
Zipf, A
Mooney, P
Helbich, M";01.01.2015;11.2;openstreetmap (osm);;webofknowledge;Urban behaviour
10.2495/DNE-V11-N3-396-405;The analysis technique of social media for disaster management;Choi S.;01.01.2016;11.5;twitter;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84991442403&origin=inward;scopus;TITLE((disaster AND (manage* OR help* OR support*)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1016/j.scitotenv.2018.06.056;A crowdsourced valuation of recreational ecosystem services using social media data: An application to a tropical wetland in India;Sinclair M.;15.11.2018;3.9;flickr;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85048269384&origin=inward;scopus;KEY(((chemical* OR air OR water OR soil) AND (pollution OR contamination)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1016/j.neucom.2015.01.084;Online indexing and clustering of social media data for emergency management;Pohl D.;01.01.2016;11.5;"twitter;flickr;YouTube";https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84946493759&origin=inward;scopus;KEY((disaster AND (manage* OR help* OR support*)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1145/2567948.2579279;Volunteer-powered Automatic Classification of Social Media Messages for Public Health in AIDR;"Imran, Muhammad
Castillo, Carlos";07.04.2014;3.8;twitter;;webofknowledge;Health monitoring
10.1145/1753326.1753486;"Microblogging During Two Natural Hazards Events: What Twitter May Contribute to Situational
Awareness";"Vieweg, Sarah
Hughes, Amanda L.
Starbird, Kate
Palen, Leysia";01.01.2010;11.5;twitter;;webofknowledge;Disaster
10.1016/j.landurbplan.2016.04.001;Where do networks really work? The effects of the Shenzhen greenway network on supporting physical activities;Liu K.;01.08.2016;3.9;Codoon;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84968690690&origin=inward;scopus;KEY((urban* AND green*) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.3390/s17122766;E2mC: Improving emergency management service practice through social media and crowdsourcing analysis in near real time;Havas C.;01.12.2017;11.5;twitter;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85047750964&origin=inward;scopus;KEY((disaster AND (manage* OR help* OR support*)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1016/j.apgeog.2013.05.005;Automated geographic context analysis for volunteered information;"Spinsanti, Laura
Ostermann, Frank";01.09.2013;11.5;"flickr;twitter";;webofknowledge;Forest fires
10.1371/journal.pone.0056176;Influenza Forecasting with Google Flu Trends;"Dugas, Andrea Freyer
Jalalpour, Mehdi
Gel, Yulia
Levin, Scott
Torcaso, Fred
Igusa, Takeru
Rothman, Richard E.";01.02.2013;3.3;google trends;;webofknowledge;Influenca
10.1197/jamia.M2544;"HealthMap: Global infectious disease monitoring through automated classification and visualization
of Internet media reports";"Freifeld, Clark C.
Mandl, Kenneth D.
Ras, Ben Y.
Bronwnstein, John S.";01.03.2008;3.3;healthmap;;webofknowledge;Influenca
10.1111/1468-5973.12201;The switchboard mechanism: How social media connected citizens during the 2013 floods in Dresden;Albris K.;01.09.2018;11.5;facebook;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85028613644&origin=inward;scopus;KEY((disaster AND (manage* OR help* OR support*)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1086/630200;Google Trends: A Web-Based Tool for Real-Time Surveillance of Disease Outbreaks;"Carneiro, Herman Anthony
Mylonakis, Eleftherios";01.11.2009;3.3;google trends;;webofknowledge;Disease
10.1371/journal.pone.0083672;"National and Local Influenza Surveillance through Twitter: An Analysis of the 2012-2013 Influenza
Epidemic";"Broniatowski, David A.
Paul, Michael J.
Dredze, Mark";01.12.2013;3.3;twitter;;webofknowledge;Influenca
;Flu Detector - Tracking Epidemics on Twitter;"Lampos, Vasileios
De Bie, Tijl
Cristianini, Nello";01.09.2010;3.3;twitter;;webofknowledge;Influenca
10.1186/1742-4682-11-S1-S6;Analysing Twitter and web queries for flu trend prediction;"Santos, Jose Carlos
Matos, Sergio";01.05.2013;3.3;twitter;;webofknowledge;Influenca
10.1371/journal.pone.0019467;"The Use of Twitter to Track Levels of Disease Activity and Public Concern in the US during the
Influenza A H1N1 Pandemic";"Signorini, Alessio
Segre, Alberto Maria
Polgreen, Philip M.";01.05.2011;3.3;twitter;;webofknowledge;Influenca
10.1016/j.artmed.2014.01.002;Twitter mining for fine-grained syndromic surveillance;"Velardi, Paola
Stilo, Giovanni
Tozzi, Alberto E.
Gesualdo, Francesco";01.07.2014;3.3;twitter;;webofknowledge;Influenca
10.1016/j.ypmed.2014.01.024;"Methods of using real-time social media technologies for detection and remote monitoring of HIV
outcomes";"Young, Sean D.
Rivers, Caitlin
Lewis, Bryan";01.06.2014;3.3;twitter;;webofknowledge;Disease (HIV)
10.1371/journal.pone.0014118;Pandemics in the Age of Twitter: Content Analysis of Tweets during the 2009 H1N1 Outbreak;"Chew, Cynthia
Eysenbach, Gunther";01.10.2010;3.3;twitter;;webofknowledge;Disease (Swine Flu, H1N1)
10.1038/nature07634;Detecting influenza epidemics using search engine query data;"Ginsberg, Jeremy
Mohebbi, Matthew H.
Patel, Rajan S.
Brammer, Lynnette
Smolinski, Mark S.
Brilliant, Larry";01.02.2009;3.3;google trends;;webofknowledge;Influenca
10.3201/eid1508.090299;More Diseases Tracked by Using Google Trends;"Pelat, Camille
Turbelin, Clement
Bar-Hen, Avner
Flahault, Antoine
Valleron, Alain-Jacques";01.08.2009;3.3;google trends;;webofknowledge;Disease
10.1086/593098;Using Internet Searches for Influenza Surveillance;"Polgreen, Philip M.
Chen, Yiling
Pennock, David M.
Nelson, Forrest D.";01.12.2008;3.3;google trends;;webofknowledge;Influenca
10.3201/eid1608.100093;Eye-Opening Approach to Norovirus Surveillance;"Hulth, Anette
Andersson, Yvonne
Hedlund, Kjell-Olof
Andersson, Mikael";01.08.2010;3.3;Medical website (https://www.1177.se);;webofknowledge;Influenca (Norovirus)
10.1186/1471-2105-10-385;Automated vocabulary discovery for geo-parsing online epidemic intelligence;"Keller, Mikaela
Freifeld, Clark C.
Brownstein, John S.";01.11.2009;3.3;healthmap;;webofknowledge;Influenca
10.1590/S0102-311X2001000700024;Global surveillance of emerging diseases: the ProMED-mail perspective.;"Woodall, J. P.
Sabroza, P. C.
Waltner-Toews, D.";01.01.2001;3.3;healthmap;;webofknowledge;Influenca
10.1111/1468-0009.12038;"Social Media and Internet-Based Data in Global Systems for Public Health Surveillance: A
Systematic Review";"Velasco, Edward
Agheneza, Tumacha
Denecke, Kerstin
Kirchner, Goeran
Eckmanns, Tim";01.03.2014;<SDG3>;;;webofknowledge;
10.1016/j.ijinfomgt.2017.08.003;Social network analysis: Characteristics of online social networks after a disaster;Kim J.;01.02.2018;11.5;facebook;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85029685723&origin=inward;scopus;KEY((disaster AND (manage* OR help* OR support*)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
;Lessons learned on the design of several tools for participation on foot;Hausmann S.;01.12.2017;11.3;name unknown - Citzen Science App;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85047071222&origin=inward;scopus;KEY((particip* plan* AND (urban OR settlement)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1145/2567948.2576955;Topic-Based Place Semantics Discovered from Microblogging Text Messages;"Kim, Eunyoung
Ihm, Hwon
Myaeng, Sung-Hyon";01.04.2014;11.2;"flickr;Foursquare";;webofknowledge;Urban behaviour
10.1016/j.ajic.2009.11.004;Dissemination of health information through social networks: Twitter and antibiotics;"Scanfeld, Daniel
Scanfeld, Vanessa
Larson, Elaine L.";01.04.2010;3.5;twitter;;webofknowledge;Medication abuse
10.1007/s10606-014-9209-y;Identifying Seekers and Suppliers in Social Media Communities to Support Crisis Coordination;"Purohit, Hemant
Hampton, Andrew
Bhatt, Shreyansh
Shalin, Valerie L.
Sheth, Amit P.
Flach, John M.";01.01.2014;11.5;twitter;;webofknowledge;Disaster
10.1016/j.landurbplan.2015.02.022;Visualizing the perceived environment using crowdsourced photo geodata;Dunkel, Alexander;01.10.2015;11.7;flickr;;webofknowledge;Perceived environment
10.1007/s10530-007-9114-0;"Marine invasive species: validation of citizen science and implications for national monitoring
networks";"Delaney, David G.
Sperling, Corinne D.
Adams, Christiaan S.
Leung, Brian";01.01.2008;11.7;Global Invasive Species Database - Citizen Science Project;;webofknowledge;Environmental monitoring
10.1016/j.landurbplan.2015.02.020;"Social media and the city: Rethinking urban socio-spatial inequality using user-generated geographic
information";"Shelton, Taylor
Poorthuis, Ate
Zook, Matthew";01.10.2015;11.1;twitter;;webofknowledge;Urban (spatial) inequality
10.1080/15230406.2014.905756;"The impact of using social media data in crime rate calculations: shifting hot spots and changing
spatial patterns";"Malleson, Nick
Andresen, Martin A.";01.03.2015;11.7;twitter;;webofknowledge;Sexual harassment
10.3390/rs10081239;Volunteered geographic information for disaster risk reduction-the missing maps approach and its potential within the Red Cross and Red Crescent movement;Scholz S.;01.08.2018;11.b;openstreetmap (osm);https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85051674359&origin=inward;scopus;TITLE((disaster AND risk AND reduction) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1109/MPRV.2008.80;OpenStreetMap: User-Generated Street Maps;"Haklay, Mordechai (Muki)
Weber, Patrick";01.10.2008;11.2;Open Street Map (OSM);;webofknowledge;Urban behaviour
 10.1145/2740908.2742826 ;"Social Glass: A Platform for Urban Analytics and Decision-making Through Heterogeneous Social
Data";"Bocconi, Stefano
Bozzon, Alessandro
Psyllidis, Achilleas
Bolivar, Christiaan Titos
Houben, Geert-Jan";01.01.2015;11.2;"twitter;Instagram;Foursquare";;webofknowledge;Urban behaviour
10.3390/ijgi2041066;Measuring Completeness of Building Footprints in OpenStreetMap over Space and Time;"Hecht, Robert
Kunze, Carola
Hahmann, Stefan";01.12.2013;11.5;Open Street Map (OSM);;webofknowledge;Disaster
;Integrating Social Media Communications into the Rapid Assessment of Sudden Onset Disasters;"Vieweg, Sarah
Castillo, Carlos
Imran, Muhammad";01.11.2014;11.5;twitter;;webofknowledge;Disaster
10.1016/j.proeng.2014.07.035;Groundtruthing OpenStreetMap Building Damage Assessment;"Westrope, Clay
Banick, Robert
Levine, Mitch";01.05.2014;11.5;Open Street Map (OSM);;webofknowledge;Disaster
10.1109/HICSS.2016.31;"Potential of Collaborative Mapping for Disaster Relief: A Case Study of OpenStreetMap in the
Nepal Earthquake 2015";"Poiani, Thiago Henrique
Rocha, Roberto dos Santos
Degrossi, Livia Castro
de Albuquerque, Joao Porto";01.01.2016;11.5;Open Street Map (OSM);;webofknowledge;Disaster
10.5194/nhess-14-1007-2014;Road assessment after flood events using non-authoritative data;"Schnebele, E.
Cervone, G.
Waters, N.";01.01.2014;11.5;"Youtube;twitter";;webofknowledge;Disaster
10.1108/IntR-05-2012-0095;Predicting information credibility in time-sensitive social media;"Castillo, Carlos
Mendoza, Marcelo
Poblete, Barbara";01.01.2013;3.3;twitter;;webofknowledge;Influenca
10.1111/jfr3.12520;Supporting participative pre-flood risk reduction in a UNESCO biosphere;O'Grady M.;01.11.2019;11.5;NOAH app - Citizen Science Project;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85060238805&origin=inward;scopus;KEY((disaster AND (manage* OR help* OR support*)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
;Smog Disaster Forecasting using Social Web Data and Physical Sensor Data;"Chen, Jiaoyan
Chen, Huajun
Hu, Daning
Pan, Jeff Z.
Zhou, Yalin";01.01.2015;11.5;sina weibo;;webofknowledge;Disaster
10.1109/ICDM.2014.137;Flu Gone Viral: Syndromic Surveillance of Flu on Twitter using Temporal Topic Models;"Chen, Liangzhe
Hossain, K. S. M. Tozammel
Butler, Patrick
Ramakrishnan, Naren
Prakash, B. Aditya";01.01.2014;3.3;twitter;;webofknowledge;Influenca
10.1145/2567948.2577034;AIDR: Artificial Intelligence for Disaster Response;"Imran, Muhammad
Castillo, Carlos
Lucas, Ji
Meier, Patrick
Vieweg, Sarah";01.07.2014;11.5;twitter;;webofknowledge;Disaster
10.1145/2896338.2896342;"#hayfever; A Longitudinal Study into Hay Fever Related Tweets in the UK";"de Quincey, Ed
Kyriacou, Theocharis
Pantin, Thomas";11.04.2016;3.8;twitter;;webofknowledge;Allergy (Hayfever)
10.4269/ajtmh.2012.11-0597;"Social and News Media Enable Estimation of Epidemiological Patterns Early in the 2010 Haitian
Cholera Outbreak";"Chunara, Rumi
Andrews, Jason R.
Brownstein, John S.";01.01.2012;3.3;"healthmap;twitter";;webofknowledge;Disease
10.1109/ICHI.2013.47;Monitoring Public Health Concerns Using Twitter Sentiment Classifications;"Ji, Xiang
Chun, Soon Ae
Geller, James";01.01.2013;3.8;twitter;;webofknowledge;Health monitoring
10.1371/journal.pntd.0004235;"Combining Public Health Education and Disease Ecology Research: Using Citizen Science to Assess
Chagas Disease Entomological Risk in Texas";"Curtis-Robles, Rachel
Wozniak, Edward J.
Auckland, Lisa D.
Hamer, Gabriel L.
Hamer, Sarah A.";01.12.2015;3.3;Kissing Bug Data - Citizen Science Project;;webofknowledge;Disease
10.1016/j.envpol.2016.11.024;"VegeSafe: A community science program measuring soil-metal contamination, evaluating risk and
providing advice for safe gardening";"Rouillon, Marek
Harvey, Paul J.
Kristensen, Louise J.
George, Steven G.
Taylor, Mark P.";01.03.2017;3.8;MapMyEnvironment - Citizen Science Project;;webofknowledge;Health monitoring
10.4401/ag-5354;"USGS ""Did You Feel It?"" Internet-based macroseismic intensity maps";"Wald, David J.
Quitoriano, Vincent
Worden, Bruce
Hopper, Margaret
Dewey, James W.";01.01.2011;11.5;Did you feel it? - Citizen Science Project;;webofknowledge;Disaster
10.1016/j.pubrev.2009.05.002;Dialogic strategies and outcomes: An analysis of environmental advocacy groups' Facebook profiles;"Bortree, Denise Sevick
Seltzer, Trent";01.09.2009;11.2;facebook;;webofknowledge;Urban behaviour
10.25300/MISQ/2013/37.2.05;"COMMUNITY INTELLIGENCE AND SOCIAL MEDIA SERVICES: A RUMOR THEORETIC
ANALYSIS OF TWEETS DURING SOCIAL CRISES";"Oh, Onook
Agrawal, Manish
Rao, H. Raghav";01.06.2013;11.2;twitter;;webofknowledge;Urban behaviour
